,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
66,Looper,2012,"['Action, Drama, Sci-Fi']",Rian Johnson ,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","[""In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.""]",113,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""7e156024-3635-4f7e-9a12-11ae1cdc7e86"")>"
67,Mission: Impossible - Fallout,2018,"['Action, Adventure, Thriller']",Christopher McQuarrie ,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","['Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.']",147,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b31ff85b-91ff-4c89-a757-901b5c9087ba"")>"
68,Guardians of the Galaxy,2014,"['Action, Adventure, Comedy']",James Gunn ,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",['A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.'],121,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""2763aa5b-4bf4-45d7-b57c-42a9501dd913"")>"
69,Spy Game,2001,"['Action, Crime, Thriller']",Tony Scott ,"Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane",['Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.'],126,7.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fa377e3c-76c5-458f-9d29-2cc434d3989f"")>"
70,Wonder Woman,2017,"['Action, Adventure, Fantasy']",Patty Jenkins ,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis","['When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.']",141,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b3feec83-8882-4838-b05d-adddef9ec67e"")>"
71,Hero,2002,"['Action, Adventure, History']",Yimou Zhang ,"Jet Li, Tony Chiu-Wai Leung, Maggie Cheung, Ziyi Zhang","['A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.']",120,7.9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""7b16f821-1043-41f0-a533-64e88f50bc88"")>"
72,American Sniper,2014,"['Action, Biography, Drama']",Clint Eastwood ,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis","[""Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.""]",133,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""deb73c2e-6250-408e-aa5f-8f2176f3b723"")>"
73,King Kong,2005,"['Action, Adventure, Drama']",Peter Jackson ,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann","['A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.']",187,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""800723e6-6597-4067-a9e3-8bbe578c0ecc"")>"
74,Star Trek,2009,"['Action, Adventure, Sci-Fi']",J.J. Abrams ,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy","[""The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.""]",127,7.9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""ad0b2ad9-d724-4249-bae1-b77cf004cd13"")>"
75,Sicario,2015,"['Action, Crime, Drama']",Denis Villeneuve ,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",['An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.'],121,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""9d14f6da-8609-490c-a175-7947ba4b1fca"")>"
